iter	Passed	Remaining
1242	75847	2928
1243	75915	2868
1244	76006	2808
1245	76093	2748
1246	76170	2687
1247	76227	2626
1248	76289	2565
1249	76354	2504
1250	76417	2443
1251	76479	2382
1252	76536	2321
1253	76590	2259
1254	76655	2198
1255	76718	2137
1256	76784	2076
1257	76845	2015
1258	76900	1954
1259	76957	1893
1260	77021	1832
1261	77073	1771
1262	77128	1709
1263	77185	1648
1264	77240	1587
1265	77298	1526
1266	77359	1465
1267	77417	1404
1268	77480	1343
1269	77542	1282
1270	77603	1221
1271	77653	1159
1272	77709	1098
1273	77766	1037
1274	77823	976
1275	77879	915
1276	77935	854
1277	77991	793
1278	78045	732
1279	78103	671
1280	78158	610
1281	78209	549
1282	78271	488
1283	78327	427
1284	78384	365
1285	78435	304
1286	78495	243
1287	78554	182
1288	78614	121
1289	78666	60
1290	78718	0
